bar,start_seconds,chord,confidence
87,129.161250,Cm7,0.048646
88,130.661250,F7,0.021793
89,132.161250,F7,0.010245
90,133.661250,F7,0.006310
91,135.161250,F7,0.002470
92,136.661250,F7,0.031425
93,138.161250,F7,0.003841
94,139.661250,F7,0.042162
95,141.161250,F7,0.019552
96,142.661250,F7,0.020364
97,144.161250,Cm7,0.073223
98,145.661250,Cm7,0.014939
99,147.161250,Cm7,0.011596
100,148.661250,Cm7,0.009516
101,150.161250,Cm7,0.010085
102,151.661250,Cm7,0.020893
103,153.161250,Cm7,0.015949
104,154.661250,Cm7,0.002178
105,156.161250,Cm7,0.120178
106,157.661250,Cm7,0.003924
107,159.161250,Cm7,0.012979
108,160.661250,Cm7,0.000409
109,162.161250,Cm7,0.033497
110,163.661250,Cm7,0.001702
111,165.161250,Cm7,0.083692
112,166.661250,Cm7,0.011693
113,168.161250,Cm7,0.050262
114,169.661250,Cm7,0.006955
115,171.161250,Cm7,0.004907
116,172.661250,Cm7,0.012991
117,174.161250,Cm7,0.031563
118,175.661250,Cm7,0.007369
119,177.161250,Cm7,0.064349
120,178.661250,Cm7,0.021043
121,180.161250,Cm7,0.057730
122,181.661250,Cm7,0.039395
123,183.161250,Cm7,0.075433
124,184.661250,Cm7,0.013537
125,186.161250,Cm7,0.034845
126,187.661250,Cm7,0.002010
127,189.161250,Cm7,0.083895
128,190.661250,Cm7,0.009526
129,192.161250,Cm7,0.053385
130,193.661250,Cm7,0.002918
131,195.161250,Cm7,0.002836
132,196.661250,Cm7,0.009773
133,198.161250,Cm7,0.029603
134,199.661250,Cm7,0.010909
135,201.161250,Cm7,0.052607
136,202.661250,Cm7,0.024626
137,204.161250,Cm7,0.007302
138,205.661250,Cm7,0.016655
139,207.161250,Cm7,0.009901
140,208.661250,Cm7,0.014149
141,210.161250,Cm7,0.011322
142,211.661250,Cm7,0.022887
143,213.161250,Cm7,0.016719
144,214.661250,Cm7,0.006166
145,216.161250,Cm7,0.120897
146,217.661250,F7,0.016578
147,219.161250,F7,0.027802
148,220.661250,F7,0.035567
149,222.161250,Cm7,0.048915
150,223.661250,Cm7,0.001963
151,225.161250,Cm7,0.056447
152,226.661250,Cm7,0.061744
153,228.161250,Cm7,0.055915
154,229.661250,Cm7,0.000268
155,231.161250,Cm7,0.029307
156,232.661250,Cm7,0.047508
157,234.161250,Cm7,0.023490
158,235.661250,Cm7,0.010619
159,237.161250,Cm7,0.043374
160,238.661250,Cm7,0.007183
161,240.161250,Cm7,0.062652
162,241.661250,F7,0.014022
163,243.161250,F7,0.032945
164,244.661250,F7,0.051053
165,246.161250,F7,0.044218
166,247.661250,F7,0.006677
167,249.161250,F7,0.069809
168,250.661250,F7,0.065253
169,252.161250,F7,0.054594
170,253.661250,F7,0.022745
171,255.161250,F7,0.001049
172,256.661250,F7,0.046983
173,258.161250,F7,0.043198
174,259.661250,F7,0.008773
175,261.161250,F7,0.037920
176,262.661250,F7,0.032033
177,264.161250,F7,0.041140
178,265.661250,Dbmaj7,0.225555
179,267.161250,Dbmaj7,0.123818
