ID,Category,Content Format,Working Title,Hook (0-2 sec),Viewer Interaction / Guess,Correct Answer / Reveal,Core Explanation,Final Wow Fact,Target Duration (sec),Priority,Difficulty,Primary Engine,Supporting Tools,Accuracy / Caveat,Primary Source URL,Secondary Source URL,Status
V011,Human Body,Body quiz,Which Part of Your Body Has No Blood Vessels?,One transparent body tissue stays alive without a single blood vessel.,"Offer cornea, fingernail, eardrum and tooth enamel.","The cornea. It receives oxygen from tears and the air, and nutrients from surrounding fluids and tissues.",Its lack of vessels helps keep it transparent for vision. The cornea is richly supplied with nerves despite being avascular.,The cornea is one of the most densely innervated tissues in the body.,28,High,Easy,React Three Fiber,"Remotion quiz cards, particle diffusion",Say the healthy cornea is normally avascular; disease or injury can cause abnormal vessel growth.,https://www.nei.nih.gov/research-and-training/research-news/nei-funded-research-shows-promise-healing-damage-dry-eye-surgery-and-toxin-exposure,https://www.ncbi.nlm.nih.gov/books/NBK470340/,Planned
V012,Human Body,Number reveal,How Much Blood Does Your Heart Pump in One Day?,"Is it enough to fill a bathtub, a tanker, or a swimming pool?",Show three container-size guesses.,"About 2,000 US gallons, roughly 7,500 litres, per day for an average heart.",The number comes from cardiac output accumulated across tens of thousands of beats; it varies with body size and activity.,"Over a 70-year lifetime, the heart can beat more than 2.5 billion times.",30,High,Easy,Remotion SVG,"Canvas fluid particles, animated counters","Present as an average estimate, not an identical amount for everyone.",https://newsroom.heart.org/multimedia/images-graphics/medical-illustrations-and-graphcs//graphics-and-illustrations,https://newsroom.heart.org/multimedia/animation-video/animations/animations,Planned
V013,Human Body,Guess and reveal,Which Organ Can Regrow After Major Damage?,One organ can restore its mass even after a large portion is removed.,"Offer lung, kidney, liver and pancreas.",The liver. Remaining tissue enlarges and cells proliferate to restore functional mass.,The removed lobe does not grow back like a salamander limb; the remaining liver compensates and regains volume.,"The liver can recover from major loss, but repeated or severe disease can overwhelm this ability.",30,High,Medium,React Three Fiber,"Remotion timeline, cell-division particles",Avoid saying it regrows perfectly from any damage or that 90% removal is safe in humans.,https://www.nih.gov/news-events/nih-research-matters/cells-maintain-repair-liver-identified,https://www.ncbi.nlm.nih.gov/books/NBK9971/,Planned
V014,Human Body,Mystery reveal,Why Can’t You Tickle Yourself?,"Your fingers make the same movement, but your brain turns down the sensation.","Ask viewers whether the cause is skin, nerves, prediction or strength.",Prediction. The brain anticipates the sensory result of self-generated movement and attenuates it.,"Motor commands produce an internal prediction; when expected and actual touch match, somatosensory activity is reduced.",Adding a delay between your movement and the touch can make self-produced stimulation feel more ticklish.,30,High,Medium,Motion Canvas,"Remotion brain overlays, SVG neural pathways","Ticklishness is multifactorial; prediction and self-generated sensory attenuation are central, not the only influences.",https://pubmed.ncbi.nlm.nih.gov/10943682/,https://pmc.ncbi.nlm.nih.gov/articles/PMC1071435/,Planned
V015,Human Body,Hidden process,What Happens Inside Your Face When You Blush?,Embarrassment can redirect visible blood flow before you can stop it.,"Ask whether the red colour comes from heat, hormones, muscle tension or widened vessels.",Facial blood vessels dilate and more blood becomes visible near the skin surface.,"Blushing involves autonomic nervous-system responses and is concentrated in highly visible facial, ear, neck and upper-chest vasculature.","A blush often becomes visible seconds after the emotional trigger, even though the reaction is involuntary.",30,Medium,Medium,React Three Fiber,"Canvas blood particles, Remotion thermal overlay",Physiology is complex; avoid presenting one single pathway as fully settled.,https://pmc.ncbi.nlm.nih.gov/articles/PMC5675873/,https://pubmed.ncbi.nlm.nih.gov/24487133/,Planned
V016,Human Body,Speed comparison,How Fast Can a Nerve Signal Travel?,Some nerve signals can cross your body faster than a race car.,"Ask viewers to rank walking speed, cheetah, race car and fast myelinated nerve signal.",Fast myelinated nerve fibres can conduct signals at roughly 100–120 metres per second.,Speed depends on axon diameter and myelination; not all nerve signals travel this fast.,Myelin lets the electrical impulse jump between nodes in saltatory conduction.,30,High,Medium,Motion Canvas,"Remotion speed race, Canvas electrical glow",Use “up to” or “fast fibres”; slower nerves can conduct far below this speed.,https://www.ncbi.nlm.nih.gov/books/NBK538143/,https://www.ncbi.nlm.nih.gov/books/NBK279394/,Planned
V017,Human Body,Myth versus fact,Is Bone Stronger Than Steel?,You have probably heard that bone is stronger than steel. Is that actually true?,"Ask viewers to choose: absolutely yes, absolutely no, or only by strength-to-weight.","Steel is generally stronger in absolute terms, but bone has an impressive strength-to-weight ratio and is a living, self-repairing composite.","The comparison depends on tension, compression, specimen direction and whether strength is normalised by mass or density.","Bone combines stiffness, toughness, low weight and biological repair—properties a simple steel bar does not share.",32,Medium,Advanced,Motion Canvas,"Remotion stress charts, fracture simulation",Never use a single “bone is five times stronger” claim without specifying the test and material grade.,https://www.ncbi.nlm.nih.gov/books/NBK222265/,https://pmc.ncbi.nlm.nih.gov/articles/PMC3170855/,Planned
V018,Human Body,Mystery and evidence,Why Do Fingers Wrinkle in Water?,Your skin is not simply soaking up water—the nervous system actively creates the wrinkles.,"Ask whether the cause is swelling, shrinking blood vessels, cold skin or trapped air.","Small blood vessels constrict under autonomic control, pulling the fingertip surface into wrinkles.","Some studies suggest wrinkles improve handling of wet objects, but results are mixed, so present the grip benefit as a supported hypothesis rather than settled fact.",Abnormal wrinkling can be used as a clue to autonomic nerve function.,32,High,Medium,React Three Fiber,"Remotion evidence cards, fluid shader",Grip advantage evidence is mixed; distinguish mechanism from proposed function.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8294484/,https://pmc.ncbi.nlm.nih.gov/articles/PMC3885627/,Planned
V019,Human Body,Timeline,What 24 Hours Without Sleep Does to Your Brain,"After one sleepless night, attention and reaction time can fall before you realise it.","Ask viewers to predict which changes first: memory, mood, reaction or hunger.","Multiple systems change: vigilance and reaction time worsen, mood becomes less stable, and memory formation is impaired.",Effects differ by person and task; sleep deprivation is not equivalent to a fixed blood-alcohol level for everyone.,Microsleeps can occur for seconds while the person appears awake.,35,High,Medium,Remotion SVG,"Motion Canvas graphs, eye/brain animation",Avoid medical diagnosis and avoid a universal alcohol-equivalence claim.,https://www.cdc.gov/niosh/work-hour-training-for-nurses/longhours/mod3/05.html,https://www.nhlbi.nih.gov/health/sleep-deprivation,Planned
V020,Human Body,Myth investigation,Can Stomach Acid Dissolve Metal?,Your stomach acid is powerful—but could it dissolve a metal object?,"Show coin, aluminium foil, steel screw and food; ask what changes first.","Acid can corrode some metals, but the result depends on the metal, protective coatings, concentration and time. The stomach is not an instant metal-dissolving chamber.","Gastric acid is mainly hydrochloric acid at low pH, but swallowed metal objects remain dangerous and require medical attention.","The stomach protects itself with mucus, bicarbonate and rapidly renewed lining cells.",32,Medium,Advanced,React Three Fiber,"Particle chemistry, Remotion warning overlays",Do not give ingestion instructions; include a clear “do not test—seek medical care” warning.,https://www.ncbi.nlm.nih.gov/books/NBK279304/,https://www.poison.org/articles/swallowed-object,Planned
V021,Animals,Animal quiz,Which Animal Has Three Hearts?,"Two hearts serve the gills, and one serves the rest of the body.","Offer shark, octopus, dolphin and crab.",The octopus and other cephalopods have three hearts.,Two branchial hearts send oxygen-poor blood through the gills; the systemic heart pumps oxygenated blood to the body.,Their blood is blue because the oxygen carrier hemocyanin contains copper.,28,High,Easy,React Three Fiber,"Remotion quiz, Canvas blood particles",Say cephalopods generally; avoid implying every heart beats identically in every activity state.,https://ocean.si.edu/ocean-life/invertebrates/octopuses-squids-and-relatives,https://ocean.si.edu/ocean-life/invertebrates/how-octopuses-and-squids-change-color,Planned
V022,Animals,Guess and reveal,Which Animal Survived Exposure to Space?,This animal endured vacuum and radiation outside a spacecraft.,"Offer ant, tardigrade, cockroach and jellyfish.","Tardigrades. In experiments, some survived direct exposure to the space vacuum, especially when shielded from intense ultraviolet radiation.",They enter a desiccated tun state that greatly reduces metabolism; survival does not mean they live normally or indefinitely in space.,They were the first animals shown to survive direct exposure to outer space.,30,High,Medium,React Three Fiber,"Remotion quiz, particle radiation, microscope view",Do not claim all tardigrades survive all space conditions; UV exposure reduced survival.,https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Tiny_animals_survive_exposure_to_space,https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Exobiology,Planned
V023,Animals,Shocking fact,Why Is Horseshoe Crab Blood Blue?,This blue blood has helped test medicines and medical devices for bacterial contamination.,"Ask whether the blue colour comes from copper, seawater, bacteria or pigment.",Copper-containing hemocyanin carries oxygen and makes the blood blue.,"Amoebocyte cells in the blood react strongly to bacterial endotoxins, historically enabling highly sensitive contamination tests.",Horseshoe crabs are more closely related to spiders and scorpions than to true crabs.,32,High,Medium,React Three Fiber,"Canvas cells, Remotion medical-test sequence",Mention conservation concerns and synthetic alternatives; do not frame harvesting as harmless.,https://nationalzoo.si.edu/animals/news/10-incredible-horseshoe-crab-facts,https://ocean.si.edu/ocean-life/invertebrates/creature-feature-amazing-horseshoe-crab,Planned
V024,Animals,Vision comparison,Which Animal Sees Colours Humans Cannot?,This animal detects ultraviolet light and patterns of polarisation invisible to us.,"Offer eagle, cat, mantis shrimp and dolphin.",Mantis shrimp have specialised photoreceptors that detect ultraviolet and polarised light.,More receptor types do not automatically mean “better colour vision”; their neural processing differs from ours.,Some mantis shrimp can judge distance using a single eye.,30,High,Advanced,React Three Fiber,"Shader-based spectrum simulation, Remotion quiz",Avoid repeating exaggerated claims that they see every imaginable colour or infrared as established fact.,https://www.smithsonianmag.com/science-nature/why-mantis-shrimps-not-sharks-might-be-most-amazing-predators-in-sea-180969772/,https://photocontest.smithsonianmag.com/photocontest/detail/ten-thousand-eyes/,Planned
V025,Animals,Ranking reveal,Which Living Animal Has the Strongest Measured Bite?,"The record bite can deliver more than 16,000 newtons of force.","Rank lion, great white shark, hippopotamus and saltwater crocodile.",The saltwater crocodile holds the highest directly measured bite force among living animals in a major comparative study.,Bite force varies with body size and measurement method; shark estimates are often modelled rather than directly measured.,Crocodilians combine extreme closing force with relatively weak jaw-opening muscles.,32,High,Medium,React Three Fiber,"Remotion force meter, jaw simulation","Use “strongest directly measured in the study,” not a timeless universal claim across every species and method.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031781,https://www.floridamuseum.ufl.edu/shark-attacks/odds/perspective/,Planned
V026,Animals,Hidden mechanism,How Do Geckos Walk on Ceilings?,"No glue, no suction cups—millions of microscopic hairs create the grip.","Ask whether the mechanism is suction, sticky liquid, tiny claws or intermolecular forces.",Microscopic setae branch into nanoscale contacts that get close enough for van der Waals attractions to add up.,"Geckos control attachment directionally by changing the angle of their toe hairs, allowing rapid release.",The system can adhere to many smooth materials without leaving sticky residue.,30,High,Advanced,React Three Fiber,"Remotion scale journey, micro/nano geometry",Avoid saying van der Waals forces alone explain every condition; surface roughness and mechanics matter.,https://people.eecs.berkeley.edu/~ronf/Gecko/gecko.html,https://people.eecs.berkeley.edu/~ronf/Gecko/interface08.html,Planned
V027,Animals,Surprise reveal,Which Animal Can Regrow Limbs and Parts of Its Brain?,This salamander can rebuild structures that humans replace with scar tissue.,"Offer lizard, axolotl, frog and octopus.","The axolotl can regenerate limbs, spinal cord, parts of the heart and parts of the central nervous system.","After injury, cells form a blastema that grows and re-patterns the missing structure.","Regeneration restores complex tissues in the correct arrangement, not just a simple stump.",32,High,Advanced,React Three Fiber,"Cell particles, Remotion timeline",Avoid saying unlimited perfect regeneration; capacity can decline under repeated injury and varies by tissue.,https://nigms.nih.gov/biobeat/2024/03/research-organism-superheroes-axolotls,https://nigms.nih.gov/education/fact-sheets/Pages/regeneration,Planned
V028,Animals,Myth correction,Why Don’t Woodpeckers Get Concussions?,Their skulls may not be shock absorbers at all.,"Ask whether the protection comes from spongy skulls, a tiny brain, soft beak or slow impacts.",Recent research suggests the head acts more like a stiff hammer; small brain size and impact conditions keep pressures below damaging thresholds.,"Older shock-absorber explanations are oversimplified, and repeated impacts may still carry biological costs.",A shock-absorbing skull would reduce the efficiency of pecking into wood.,32,High,Advanced,React Three Fiber,"Motion-tracking overlay, Remotion myth cards","Present as updated evidence, not final certainty for every species and impact condition.",https://www.smithsonianmag.com/smart-news/woodpecker-skulls-dont-absorb-shock-like-previously-thought-180980426/,https://www.cell.com/current-biology/fulltext/S0960-9822(22)00968-9,Planned
V029,Animals,Scale comparison,How Can Ants Carry Many Times Their Weight?,An ant can lift loads that would be impossible at human scale.,"Ask whether the advantage comes from stronger muscle, small size, six legs or all three.","Small size changes the scaling: muscle force relates to cross-sectional area, while body mass grows with volume. Multiple legs and exoskeleton design also help.",Exact carrying multiples vary widely by species and task; avoid one universal number.,"As animals get smaller, their strength relative to body weight generally increases.",30,High,Medium,Motion Canvas,"Remotion scale model, force vectors",Use “many times” or species-specific tested values; do not claim every ant carries 50 times its weight.,https://askabiologist.asu.edu/content/ant-strength,https://www.nature.com/articles/s41598-018-24247-1,Planned
V030,Animals,Gross fact reveal,Can a Cockroach Live Without Its Head?,The body can keep moving for days—but not because it is immortal.,Ask how it breathes without a mouth or nose.,"Cockroaches breathe through spiracles along the body and have distributed nerve centres, so basic movement can continue after decapitation.","They eventually die from dehydration, starvation, infection or fluid loss; the head may also show reflex activity briefly.",Their open circulatory system does not lose pressure the same way a severed human blood vessel would.,30,Medium,Medium,Remotion SVG,"Motion Canvas anatomy, particle airflow",Keep visuals stylised and non-graphic; avoid encouraging animal harm.,https://www.scientificamerican.com/article/fact-or-fiction-cockroach-can-live-without-head/,https://entomology.unl.edu/scilit/cockroaches-without-heads,Planned
V031,Earth & Environment,Depth reveal,What Is the Deepest Point on Earth?,Mount Everest could fit inside this trench—with more than a mile of water still above it.,"Ask viewers to choose Mariana Trench, Puerto Rico Trench, Java Trench or Grand Canyon.","Challenger Deep in the Mariana Trench, roughly 11 kilometres below sea level.",It formed at a subduction zone where one tectonic plate bends beneath another.,Pressure near the bottom is more than a thousand times sea-level atmospheric pressure.,32,High,Medium,React Three Fiber,"Remotion depth gauge, volumetric ocean shader",Depth estimates vary slightly by survey; use “about 11 km.”,https://www.fisheries.noaa.gov/pacific-islands/habitat-conservation/mariana-trench-marine-national-monument,https://www.ncei.noaa.gov/news/planet-postcard-mariana-trench,Planned
V032,Earth & Environment,Which is bigger,Is the Ocean Deeper Than Everest Is Tall?,Put Everest at the deepest ocean point—would its summit reach the surface?,Let viewers drag Everest into Challenger Deep and predict.,"No. Challenger Deep is about 11 km deep, while Everest is about 8.85 km above sea level.","Even with Everest on the trench floor, more than 2 km of water would remain above the summit.",The vertical difference is larger than many commercial aircraft fly above the ground.,28,High,Easy,Motion Canvas,"Remotion ruler, SVG terrain cross-section",Use consistent reference levels and approximate surveyed values.,https://www.ncei.noaa.gov/news/planet-postcard-mariana-trench,https://www.fisheries.noaa.gov/pacific-islands/habitat-conservation/mariana-trench-marine-national-monument,Planned
V033,Earth & Environment,What-if map,What If All Earth’s Land Ice Melted?,Sea level would rise by roughly 70 metres—but not overnight.,Ask which cities and coastlines change first on an animated globe.,Complete melting of land ice would raise global mean sea level by about 70 metres over very long timescales.,Floating sea ice contributes little directly when it melts; Greenland and Antarctica contain most of the land-ice potential.,Antarctica alone contains enough ice to raise sea level by roughly 57 metres.,35,High,Advanced,React Three Fiber,"Map shader, Remotion timeline and caveats",Emphasise millennia-scale complete melting and avoid presenting the final map as a near-term forecast.,https://sealevel.jpl.nasa.gov/news/1302/whats-up-with-sea-level/,https://science.nasa.gov/resource/antarctic-land-ice-height-change-as-measured-by-icesat-and-icesat-2/,Planned
V034,Earth & Environment,Guess and reveal,Is Lightning Hotter Than the Sun?,A lightning channel can be about five times hotter than the Sun’s visible surface.,"Ask viewers to choose lightning, lava, a welding arc or the Sun’s surface.","Lightning can heat nearby air to about 30,000 C, hotter than the Sun’s roughly 5,500–5,800 C photosphere.",The lightning channel is tiny and lasts only a fraction of a second; the Sun contains vastly more total energy.,The explosive expansion of superheated air creates thunder.,28,High,Easy,Motion Canvas,"Canvas lightning, Remotion temperature gauge","Compare temperature, not total heat or energy.",https://www.nesdis.noaa.gov/about/k-12-education/severe-weather/what-causes-lightning-and-thunder,https://www.nssl.noaa.gov/education/svrwx101/lightning/,Planned
V035,Earth & Environment,Mystery reveal,Why Don’t Hurricanes Form on the Equator?,The warmest ocean water is there—so why are hurricanes missing?,"Ask whether the missing ingredient is heat, moisture, spin or clouds.","The Coriolis effect is essentially zero at the equator, so developing storms lack enough planetary spin to organise into a tropical cyclone.","Storms typically need to form at least several degrees of latitude away, along with warm water, moisture and favourable winds.",Cyclones rotate opposite directions in the Northern and Southern Hemispheres.,30,High,Medium,React Three Fiber,"Canvas wind particles, Remotion globe labels",Coriolis is not the only formation condition; avoid saying storms can never cross the equator.,https://www.aoml.noaa.gov/hrd/tcfaq/G11.html,https://oceanservice.noaa.gov/education/tutorial_currents/04currents1.html,Planned
V036,Earth & Environment,Historical fact reveal,What Was the Loudest Natural Sound Ever Recorded?,People thousands of kilometres away heard the 1883 Krakatoa eruption.,"Offer thunder, blue whale, Tunguska and Krakatoa.",The 1883 Krakatoa eruption is often described as the loudest sound in recorded history.,The eruption generated enormous pressure waves that travelled around the globe multiple times; historical accounts and barometers documented them.,"The sound was heard roughly 4,800 km away, though exact “loudest” rankings depend on reconstruction and measurement.",32,High,Advanced,React Three Fiber,"Map wave simulation, Remotion historical cards",Use “often cited” or “in recorded history”; do not present a precisely measured source-decibel number as certain.,https://www.ncei.noaa.gov/news/day-krakatoa-exploded,https://www.si.edu/spotlight/volcanoes/krakatau,Planned
V037,Earth & Environment,Journey fact,How Far Can Volcanic Ash Travel?,"Ash from one eruption can cross countries, oceans and sometimes circle the planet.","Ask viewers how far the plume can go: 100 km, 1,000 km or around Earth.",Fine ash and aerosols can travel thousands of kilometres; the smallest material injected high into the atmosphere can spread globally.,"Travel distance depends on particle size, eruption height and wind patterns; heavy ash falls near the volcano.",High-altitude volcanic aerosols can affect sunsets and climate far from the eruption.,30,Medium,Medium,React Three Fiber,"Canvas particles, wind-field data, Remotion map",Distinguish coarse ash from fine ash and sulfur aerosols; do not imply every eruption circles Earth.,https://www.usgs.gov/programs/VHP/volcanic-ash-impacts-mitigation,https://earthobservatory.nasa.gov/features/Volcano,Planned
V038,Earth & Environment,Map comparison,How Big Is the Sahara Desert?,The Sahara is roughly comparable in area to China or the United States.,Ask viewers to place the Sahara outline over one of four countries.,"At about 9.2 million square kilometres, the Sahara is close in area to China and the United States.","It spans much of North Africa and includes rock plateaus, gravel plains and mountains—not only sand dunes.",Sand seas cover only part of the Sahara; much of it is rocky or gravel desert.,28,Medium,Easy,Motion Canvas,"Remotion maps, SVG morphing",Area estimates vary with desert boundary definitions; use “about” and “comparable.”,https://www.britannica.com/place/Sahara-desert-Africa,https://earthobservatory.nasa.gov/images/150128/saharan-dust-blankets-the-atlantic,Planned
V039,Earth & Environment,Mystery beneath,What Is Hiding Beneath Antarctica’s Ice?,"Beneath kilometres of ice are lakes, mountains, valleys and volcanoes.","Ask which feature does not exist below the ice: lakes, mountains, rivers or coral reefs.","Antarctica hides hundreds of subglacial lakes, buried mountain ranges and active geological systems.","Radar, gravity and seismic measurements reveal terrain without removing the ice; liquid water can persist under pressure and geothermal heat.",Lake Vostok lies beneath roughly 4 km of ice.,35,High,Advanced,React Three Fiber,"Terrain data, radar-scan shader, Remotion quiz",Avoid sensational claims of confirmed alien ecosystems; microbial life questions remain research topics.,https://earthobservatory.nasa.gov/features/LakeVostok,https://www.bas.ac.uk/data/our-data/maps/the-bedmap2-dataset/,Planned
V040,Earth & Environment,Moving-country fact,Which Country Moves About Seven Centimetres Each Year?,Australia drifts northeast fast enough to affect precise GPS coordinates.,"Offer India, Australia, Brazil and South Africa.",Australia moves roughly 7 cm per year with the Australian tectonic plate.,Tectonic plates are constantly moving; national coordinate systems must periodically account for accumulated offset.,"Over a decade, the shift can approach the length of a forearm.",28,Medium,Medium,Motion Canvas,"Remotion map, GPS grid animation",Direction and rate vary across the plate and reference frame; use approximate wording.,https://www.ga.gov.au/scientific-topics/positioning-navigation/geodesy/geocentric-datum-of-australia-gda,https://www.icsm.gov.au/datum/gda2020,Planned
V041,Physics & Chemistry,Predict the experiment,What Falls Faster in a Vacuum: a Bowling Ball or a Feather?,"Remove the air, and the feather stops losing the race.",Ask viewers to predict before releasing both objects.,They fall with the same acceleration in a vacuum.,Gravity gives all freely falling objects the same acceleration; air resistance creates the familiar difference on Earth.,Apollo 15 demonstrated the effect on the Moon using a hammer and falcon feather.,28,High,Easy,Motion Canvas,"Remotion split-screen, vacuum particles",Release must be simultaneous and other forces negligible.,https://science.nasa.gov/resource/the-apollo-15-hammer-feather-drop/,https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/free-fall-without-air-resistance/,Planned
V042,Physics & Chemistry,Impossible-looking fact,Can Water Boil and Freeze at the Same Time?,"At one exact combination of pressure and temperature, solid, liquid and vapour coexist.","Ask viewers whether the clip is fake, supercooled or the triple point.","At the triple point, water’s solid, liquid and gas phases can exist in equilibrium.",For a precise water composition this occurs near 0.01 C and a very low pressure; “boiling and freezing” is a visual simplification of phase equilibrium.,The water triple point was historically central to defining and realising temperature standards.,30,High,Advanced,React Three Fiber,"Particle phase simulation, Remotion phase diagram",Use equilibrium language; do not claim ordinary water at household pressure can do this.,https://www.nist.gov/video/triple-point-cell,https://www.nist.gov/si-redefinition/kelvin/kelvin-present-realization,Planned
